0,36,72,4,40,76,8,44,80,
0,36,72,7,43,79,5,41,77,
0,36,30,12,28,10,4,40,80,
0,36,30,12,79,29,11,5,41,
0,36,33,15,28,10,7,43,77,
0,36,33,15,76,29,11,8,44,
0,63,45,4,67,49,8,71,53,
0,63,45,7,70,52,5,68,50,
0,63,57,12,55,10,4,67,53,
0,63,57,12,52,56,11,5,68,
0,63,60,15,55,10,7,70,50,
0,63,60,15,49,56,11,8,71,
0,45,30,21,28,19,4,49,71,
0,45,30,21,70,29,20,5,50,
0,45,33,24,28,19,7,52,68,
0,45,33,24,67,29,20,8,53,
0,72,57,21,55,19,4,76,44,
0,72,57,21,43,56,20,5,77,
0,72,60,24,55,19,7,79,41,
0,72,60,24,40,56,20,8,80,
0,30,60,10,40,70,20,50,80,
0,30,60,19,49,79,11,41,71,
0,57,33,10,67,43,20,77,53,
0,57,33,19,76,52,11,68,44,
0,12,24,28,40,52,56,68,80,
0,12,24,55,67,79,29,41,53,
0,21,15,28,49,43,56,77,71,
0,21,15,55,76,70,29,50,44,
0,40,76,70,52,68,50,44,80,
0,67,49,43,79,41,77,71,53,
