0,108,90,36,84,30,12,120,82,28,10,118,4,112,94,40,
0,108,90,36,84,30,12,120,83,29,11,119,5,113,95,41,
0,108,90,36,87,33,15,123,82,28,10,118,7,115,97,43,
0,108,90,36,87,33,15,123,83,29,11,119,8,116,98,44,
0,108,99,45,84,30,21,129,82,28,19,127,4,112,103,49,
0,108,99,45,84,30,21,129,83,29,20,128,5,113,104,50,
0,108,99,45,87,33,24,132,82,28,19,127,7,115,106,52,
0,108,99,45,87,33,24,132,83,29,20,128,8,116,107,53,
0,189,171,36,165,30,12,201,163,28,10,199,4,193,175,40,
0,189,171,36,165,30,12,201,164,29,11,200,5,194,176,41,
0,189,171,36,168,33,15,204,163,28,10,199,7,196,178,43,
0,189,171,36,168,33,15,204,164,29,11,200,8,197,179,44,
0,189,180,45,165,30,21,210,163,28,19,208,4,193,184,49,
0,189,180,45,165,30,21,210,164,29,20,209,5,194,185,50,
0,189,180,45,168,33,24,213,163,28,19,208,7,196,187,52,
0,189,180,45,168,33,24,213,164,29,20,209,8,197,188,53,
0,135,90,63,84,57,12,147,82,55,10,145,4,139,94,67,
0,135,90,63,84,57,12,147,83,56,11,146,5,140,95,68,
0,135,90,63,87,60,15,150,82,55,10,145,7,142,97,70,
0,135,90,63,87,60,15,150,83,56,11,146,8,143,98,71,
0,135,99,72,84,57,21,156,82,55,19,154,4,139,103,76,
0,135,99,72,84,57,21,156,83,56,20,155,5,140,104,77,
0,135,99,72,87,60,24,159,82,55,19,154,7,142,106,79,
0,135,99,72,87,60,24,159,83,56,20,155,8,143,107,80,
0,216,171,63,165,57,12,228,163,55,10,226,4,220,175,67,
0,216,171,63,165,57,12,228,164,56,11,227,5,221,176,68,
0,216,171,63,168,60,15,231,163,55,10,226,7,223,178,70,
0,216,171,63,168,60,15,231,164,56,11,227,8,224,179,71,
0,216,180,72,165,57,21,237,163,55,19,235,4,220,184,76,
0,216,180,72,165,57,21,237,164,56,20,236,5,221,185,77,
0,216,180,72,168,60,24,240,163,55,19,235,7,223,187,79,
0,216,180,72,168,60,24,240,164,56,20,236,8,224,188,80,
